year,ep_ratio,u_rate,gdp,gdp_capita,fdr_12mo,blr,alr,exchange_rate
1982,62.7,3.4,184667.264,12604.098999999998,10.48,8.5,12.395,2.3353916658333302
1983,63.2,3.8,196213.087,13039.86,8.75,11.020833333333336,11.775,2.3212499991666697
1984,62.0,5.0,211442.735,13684.346000000001,9.615,11.354166666666664,12.21,2.34364166616667
1985,62.0,5.6,209274.918,13175.348,9.291666666666666,11.541666666666664,12.5525,2.48304166666667
1986,61.2,7.4,211871.172,12973.946000000002,7.416666666666668,10.6875,12.23,2.5814416666666697
1987,61.7,7.3,222871.38,13286.801000000001,4.5,8.1875,10.3625,2.5196383333333303
1988,62.0,7.2,245019.71300000002,14229.576000000001,4.24,7.25,9.3,2.6187833333333304
1989,62.4,5.7,267217.521,15128.372,5.2025000000000015,6.995833333333333,8.895833333333334,2.70884166666667
1990,63.6,4.5,291289.88300000003,16090.386999999999,6.214166666666666,7.156666666666666,8.785833333333334,2.704875
1992,63.5,3.7,347446.82,18223.311999999998,8.031666666666666,9.214999999999998,10.161666666666667,2.5473833333333302
1993,63.8,4.1,381826.485,19479.429,6.9541666666666675,8.852500000000003,10.030833333333332,2.5740950000000002
1995,62.7,3.1,457987.835,22145.584,6.502499999999999,7.440833333333333,8.729999999999999,2.50440416666667
1996,64.6,2.5,503798.98799999995,23737.032000000003,7.1800000000000015,8.8925,9.943333333333333,2.5159425
1997,64.0,2.4,540690.887,24836.478,7.8275000000000015,9.531666666666668,10.6275,2.8131916666666696
1998,62.2,3.2,500899.2,22428.692000000003,8.563333333333334,10.6125,12.156666666666665,3.924375
1999,62.0,3.4,531642.449,23206.549,4.286666666666667,7.2858333333333345,8.561666666666666,3.8
2000,63.4,3.0,578739.953,24632.104,0.0,6.771666666666667,7.6741666666666655,3.8
2001,62.6,3.5,581735.947,24208.28,4.0,6.6575,7.125,3.8
2002,62.1,3.5,613097.264,24981.23,4.0,6.3900000000000015,6.605833333333332,3.8
2003,62.9,3.6,648586.394,25903.574,3.799166666666668,6.13,6.299166666666667,3.8
2004,62.1,3.5,692582.849,27116.586,3.7000000000000006,5.986666666666667,6.0474999999999985,3.8
2005,61.0,3.5,729512.33,28008.077,3.7000000000000006,5.998333333333335,5.95,3.7870916666666696
2006,61.0,3.3,772180.479,29084.686,3.7433333333333336,6.613333333333332,6.495833333333335,3.6681769583333304
2007,61.2,3.2,822219.26,30387.01,3.7058333333333344,6.72,6.405833333333334,3.43756938226247
2008,60.6,3.3,861746.8929999999,31259.015,3.675,6.695,6.080000000000001,3.3358333333333303
2009,60.6,3.7,847648.672,30185.653,2.555833333333333,5.6225,5.0841666666666665,3.52450291070644
2010,61.6,3.3,908628.92,31782.997000000003,2.8091666666666666,6.0166666666666675,5.0,3.22108691472175
2011,62.5,3.1,956730.943,32920.119,3.143333333333333,6.449166666666668,4.915,3.06000301052058
2012,63.6,3.0,1009097.173,34195.51,3.1808333333333327,6.53,4.785833333333334,3.08880086662188
2013,65.2,3.1,1056461.394,34966.496,3.149999999999999,6.53,4.6498,3.15090855009725
2014,65.7,2.9,1119920.092,36469.753,3.2253952991452985,6.6591346153846125,4.587026543209877,3.2728597464304703
2015,65.8,3.1,1176941.0,37739.0,3.3116987179487176,6.78653846153846,4.565377469135803,3.90550026302768
2016,65.4,3.4,1229312.0,38861.0,3.1805549145299143,6.728930769230767,4.531061419753087,4.14830066287879
2017,65.7,3.4,1300769.0,40620.0,3.0907,6.6658333333333335,4.608078086419753,4.30044087761124
2018,66.0,3.3,1363766.0,42115.0,3.3133944444444445,6.88578611111111,4.928651602564102,4.03513013706806
2019,66.4,3.3,1423952.0,43783.0,3.170818236714977,6.778611111111113,4.876892948717948,4.14246973569731
2020,65.3,4.5,1346249.0,41490.0,2.1310763888888897,5.833541666666667,3.944207692307693,4.20348194851884
2021,65.4,4.6,1390900.0,42697.078,1.7162500000000005,5.489583333333335,3.4441064102564107,4.14329759817721
2022,66.5,3.9,1514100.0,46305.584,2.109233333333333,5.882789855072466,4.056124358974359,4.401076345400719
